user_id,item_id,score
122,103,0
237,60,0
11,135,0
20,73,1
275,268,0
268,117,0
149,116,0
277,266,1
80,122,0
122,24,0
195,149,0
219,79,1
209,101,1
170,220,0
166,188,0
35,26,0
191,53,1
223,106,1
24,284,0
45,123,0
54,293,1
229,120,1
130,87,1
96,212,0
135,243,0
131,146,1
242,229,0
90,41,0
34,257,1
106,246,1
107,151,0
85,221,0
214,87,0
268,9,0
125,292,1
230,153,0
66,174,1
24,227,1
79,13,1
230,175,0
84,223,0
227,216,0
35,75,0
213,297,0
135,78,1
91,221,0
54,195,1
246,133,1
86,195,0
107,263,1
142,138,1
266,7,0
9,239,0
216,44,1
35,253,1
31,178,1
119,56,0
281,147,1
264,136,1
288,37,0
168,296,0
141,291,0
25,123,0
179,261,0
194,0,1
81,225,0
70,98,0
147,118,1
266,121,1
119,58,0
179,150,0
36,128,0
37,175,1
79,299,1
170,257,0
1,253,0
191,147,1
36,292,1
136,117,0
30,241,0
124,243,1
199,7,0
229,0,1
227,145,1
257,143,1
281,22,0
192,58,1
235,34,0
30,189,1
65,214,1
133,93,1
43,236,1
263,141,1
209,280,0
30,244,0
222,98,1
31,139,0
226,133,0
112,295,1
246,120,1
185,175,0
47,16,0
130,133,1
219,76,0
268,203,0
245,85,1
16,221,1
109,213,1
116,224,1
41,16,0
207,275,0
162,19,1
189,178,0
209,102,1
225,141,1
179,96,1
264,277,0
130,71,1
213,271,1
215,242,0
9,278,1
84,294,1
204,48,0
180,89,1
166,96,0
110,228,1
140,71,1
60,67,1
74,257,1
59,273,1
85,91,0
247,147,0
126,97,1
142,65,0
217,25,0
31,121,0
190,100,1
254,105,0
145,174,0
257,117,1
215,62,0
206,17,0
193,119,1
263,136,1
34,283,0
145,170,0
207,138,0
276,100,1
52,297,1
64,228,1
198,64,0
236,271,0
159,98,1
167,142,1
256,102,1
205,181,0
22,262,1
243,9,0
163,246,1
237,57,0
109,258,0
75,13,0
163,119,1
116,136,0
218,247,1
213,92,1
238,59,1
235,87,1
207,299,0
148,80,1
236,2,0
236,111,1
3,186,1
31,264,1
247,184,0
127,35,0
20,161,1
21,86,0
228,138,1
5,297,1
198,107,1
286,0,1
217,34,1
104,251,1
223,80,1
188,215,0
215,106,0
274,38,0
272,171,0
247,136,1
14,59,0
135,155,0
252,84,0
28,70,0
86,250,1
109,252,1
281,144,1
222,136,1
266,7,0
144,182,0
148,108,1
219,299,0
210,121,1
190,129,1
150,193,0
29,273,1
83,38,0
79,249,1
70,241,1
249,62,0
85,67,0
79,264,1
194,84,0
21,155,1
79,85,0
218,134,0
17,294,0
166,165,0
135,59,0
199,8,1
64,173,1
119,246,1
86,212,0
148,42,1
203,102,1
212,16,1
245,288,1
135,99,1
150,147,1
202,76,1
243,136,1
155,227,0
128,102,0
57,69,0
135,114,1
277,62,1
179,80,1
30,269,0
81,216,0
54,187,0
81,267,1
213,198,0
261,18,0
208,90,0
52,263,1
90,288,1
52,103,0
11,273,0
85,197,1
250,79,1
270,136,1
68,267,1
272,243,1
79,174,1
150,131,0
200,90,1
157,141,1
123,265,0
120,16,0
103,232,0
115,267,0
241,234,0
103,144,0
222,86,1
66,155,1
141,249,0
77,209,0
163,110,0
63,81,0
257,80,1
245,99,1
289,80,1
180,107,1
65,268,1
142,167,0
151,166,0
3,133,0
21,260,1
88,210,1
174,171,0
189,169,0
245,110,0
258,275,0
245,242,0
210,100,1
266,101,1
174,127,0
274,297,0
207,228,0
257,138,1
113,214,0
271,198,0
13,121,0
223,142,0
141,67,1
96,9,0
51,203,0
267,74,1
103,171,1
200,146,1
63,263,1
137,68,1
71,138,0
282,141,1
21,229,1
116,227,1
140,8,0
18,175,1
245,94,1
218,116,1
242,76,1
138,87,1
110,227,1
135,142,1
236,189,1
85,80,0
32,118,0
43,273,1
0,269,1
109,43,1
243,121,1
247,236,0
186,40,1
199,62,1
113,234,1
237,102,0
227,129,1
122,164,1
275,24,1
277,93,1
105,180,1
213,261,0
284,72,0
277,80,1
163,293,1
173,120,0
222,60,0
270,85,0
88,92,0
212,256,0
58,285,1
117,143,0
25,199,1
265,49,1
208,238,0
186,194,0
79,287,1
106,299,0
13,173,1
171,99,1
165,138,1
30,158,1
36,246,1
164,80,1
49,234,0
24,212,0
43,148,0
166,141,1
101,178,1
107,260,1
63,184,1
11,87,0
264,123,1
126,178,0
116,279,1
202,197,0
231,104,0
198,38,0
199,95,1
240,45,0
72,220,1
39,278,1
134,284,0
99,216,0
207,233,0
247,100,1
165,192,0
143,285,0
122,299,1
30,78,0
31,145,0
140,96,1
286,271,0
91,224,0
110,261,1
212,133,1
221,78,0
257,167,0
205,189,0
122,272,1
24,232,0
216,122,0
288,110,0
129,195,0
140,109,0
171,105,1
263,64,0
46,155,1
31,89,0
63,292,1
237,91,0
52,276,1
214,273,0
64,155,1
130,205,1
266,117,1
285,103,1
181,48,0
113,279,0
173,13,1
177,9,1
230,101,1
4,252,1
171,62,0
277,290,0
0,202,0
190,101,1
26,48,1
144,290,0
40,249,1
203,78,0
144,148,0
130,266,0
13,269,0
179,73,1
280,102,0
122,76,0
49,204,0
122,163,0
29,54,0
223,206,0
105,188,0
42,158,0
57,173,1
39,212,0
23,233,1
210,104,1
81,201,0
151,141,0
73,155,1
189,195,0
116,173,0
241,73,1
112,241,1
58,262,1
262,176,0
285,292,0
151,60,1
277,227,0
75,252,1
272,90,1
188,80,1
184,254,0
186,103,0
267,122,1
202,120,1
282,75,1
7,283,1
209,107,1
226,188,1
243,120,1
267,104,0
142,20,0
59,222,0
140,66,1
264,83,0
140,120,1
284,297,0
97,237,1
114,262,1
222,138,0
285,15,0
135,105,1
122,190,1
93,252,1
222,105,1
245,202,0
287,297,0
70,248,0
195,127,1
5,293,1
57,167,1
110,230,1
171,85,1
189,49,1
229,158,0
148,85,0
57,122,0
47,218,0
236,211,0
242,112,1
129,128,0
9,172,1
149,162,0
268,293,0
113,107,0
230,151,0
65,244,1
30,253,1
288,0,1
270,24,0
71,142,1
210,224,0
106,150,1
81,252,1
51,247,1
82,150,1
275,151,0
286,147,1
110,156,0
167,245,0
283,99,1
52,274,0
53,124,0
24,215,0
222,125,1
6,109,0
142,22,0
21,156,1
93,249,1
209,80,0
134,228,0
163,79,0
52,169,0
9,126,0
162,137,1
69,251,1
180,95,0
243,77,0
134,33,1
184,107,1
24,69,0
35,236,1
63,228,0
66,287,0
209,104,1
225,142,1
24,34,0
191,170,0
106,237,1
75,245,0
202,20,1
66,275,1
71,277,0
227,245,0
144,89,1
52,221,0
262,78,1
4,188,0
273,173,0
284,191,1
286,138,0
217,114,1
230,85,0
22,80,0
0,251,1
262,237,0
127,227,0
77,249,1
263,12,0
133,85,1
65,120,0
189,86,1
39,287,1
238,112,1
71,141,0
123,288,1
265,58,0
145,151,1
135,17,0
286,199,1
136,298,0
108,267,1
283,10,1
88,217,1
128,164,0
95,293,0
158,275,0
14,69,0
80,291,1
70,77,0
1,286,0
73,153,0
99,214,1
64,297,1
54,229,1
214,219,0
251,54,1
105,150,1
208,126,1
30,247,1
286,113,0
173,130,1
136,97,1
209,293,0
115,29,0
164,238,0
131,62,1
286,144,1
239,156,0
193,90,1
22,21,0
266,144,1
58,229,1
153,162,0
66,209,1
249,220,0
180,122,0
223,107,1
83,290,0
56,101,1
66,294,1
202,97,1
27,197,1
262,138,1
79,11,0
36,206,1
167,46,1
144,112,0
190,267,0
231,136,0
128,68,0
285,7,1
3,137,0
65,183,1
233,197,0
193,59,1
269,0,1
5,243,1
273,102,1
122,134,0
180,72,0
61,23,0
91,153,0
271,98,0
193,104,0
36,33,0
42,262,1
42,244,1
213,79,1
81,96,0
54,161,1
116,187,1
271,19,1
86,237,1
114,159,0
24,147,0
95,227,1
235,125,0
275,114,1
256,71,1
167,45,0
26,52,0
0,235,1
113,212,1
189,107,0
275,136,1
194,102,0
256,251,0
56,276,1
236,77,0
217,51,1
274,143,0
182,26,0
51,120,1
194,147,1
257,240,0
232,88,1
224,178,0
66,152,0
140,49,1
225,164,0
211,0,1
226,154,1
269,107,1
135,129,1
131,114,1
277,208,1
245,215,0
135,57,0
229,182,0
241,129,0
224,136,1
124,207,1
36,45,0
171,80,1
224,97,1
231,149,1
5,295,1
24,230,1
55,184,0
247,93,0
30,21,0
261,92,1
79,252,1
226,107,1
134,298,0
247,0,1
40,97,0
222,82,0
158,107,1
24,73,1
136,206,1
167,118,1
231,111,0
39,164,0
167,68,1
181,182,0
264,22,0
40,46,1
189,99,1
101,252,1
267,97,1
168,200,1
286,280,0
232,141,0
148,67,1
222,251,0
84,175,1
179,138,1
209,96,1
24,226,1
262,131,1
189,34,0
44,288,1
277,119,0
171,285,0
243,46,0
177,142,1
15,298,1
157,6,1
204,90,1
40,175,0
216,100,0
135,112,1
20,98,0
33,40,0
168,42,0
126,100,1
277,166,1
277,246,0
261,229,0
288,137,1
10,247,1
17,245,1
34,61,0
200,49,1
191,6,0
134,278,0
145,119,1
286,72,0
67,279,1
11,18,1
198,8,1
59,28,0
69,110,0
130,199,0
24,290,1
73,288,0
258,97,0
277,251,0
245,259,0
173,102,1
254,138,1
236,83,1
166,97,1
14,296,1
83,75,0
190,110,0
236,96,1
261,59,0
157,69,0
237,116,1
275,134,1
89,291,1
148,99,1
200,98,1
11,229,1
180,108,1
39,166,1
85,240,0
27,290,0
30,203,0
240,59,1
56,167,0
193,197,0
236,165,0
236,99,1
56,120,1
154,214,1
109,47,1
236,80,1
271,76,0
135,119,0
23,127,0
170,218,0
237,8,1
276,268,0
288,36,1
87,150,0
202,179,0
53,225,1
153,16,1
259,142,1
275,146,1
134,141,1
141,75,1
138,79,1
263,278,0
203,37,0
124,150,0
204,123,0
70,260,1
207,144,1
125,48,0
122,264,1
202,287,0
241,79,0
240,154,0
95,261,0
255,218,0
132,90,1
257,107,0
214,72,1
117,283,0
29,145,0
46,299,1
11,251,1
132,49,1
188,246,0
207,208,0
53,29,0
123,97,0
51,273,1
120,242,0
4,199,0
78,236,1
0,266,1
127,201,1
178,282,0
272,28,0
191,70,0
69,292,1
247,97,1
119,297,1
3,290,1
35,247,1
132,103,1
173,0,1
277,255,1
105,275,1
288,223,0
75,201,1
26,290,1
79,27,0
263,52,0
91,82,0
286,148,1
60,47,0
167,209,0
229,255,0
133,145,1
262,162,0
280,79,1
140,92,0
116,178,1
161,90,1
177,101,1
126,234,0
140,228,0
266,294,1
269,102,1
219,101,0
281,33,0
70,154,0
264,125,1
44,2,0
190,147,1
165,104,0
222,244,0
84,267,1
33,231,1
128,110,0
182,144,0
110,121,0
30,68,0
34,229,1
9,205,1
214,12,1
156,57,0
215,285,0
103,244,0
226,71,1
122,201,0
283,63,0
41,68,0
136,99,1
58,71,0
189,96,1
218,243,0
183,13,1
219,72,0
132,243,0
203,138,1
74,13,0
215,84,1
56,174,1
202,194,0
267,87,0
264,72,1
191,52,0
84,174,1
197,101,1
190,105,1
163,249,0
150,24,1
230,89,0
286,36,0
39,231,1
286,173,0
178,185,0
22,239,0
81,288,0
224,213,0
117,224,1
87,158,1
223,74,1
245,95,1
222,263,0
192,46,1
88,27,0
202,132,0
63,226,1
36,257,1
202,137,1
236,248,1
100,191,1
197,259,0
241,119,0
109,278,1
92,252,0
24,236,1
277,188,1
150,230,0
142,90,1
213,21,0
38,285,1
41,29,0
271,145,1
189,84,0
31,210,1
256,0,1
36,161,0
236,98,1
116,272,0
271,190,0
179,172,0
171,95,1
163,107,1
197,199,0
230,156,0
79,266,0
137,216,0
179,148,1
189,36,1
193,199,0
125,187,1
176,137,1
207,50,0
18,257,1
30,150,1
240,38,1
225,87,1
208,273,0
119,225,0
78,167,1
204,24,1
63,271,0
202,182,1
142,241,0
265,36,1
71,184,0
85,155,1
273,19,1
95,278,1
26,152,1
92,260,1
43,224,0
113,173,1
93,155,1
9,34,0
132,101,1
117,275,0
30,20,0
254,98,1
2,97,0
126,227,0
19,90,0
166,265,0
113,58,0
261,99,1
141,174,0
225,160,0
55,11,0
180,174,0
222,141,1
180,218,0
19,173,1
165,90,1
133,29,0
180,128,0
60,56,0
99,173,1
9,290,1
65,87,0
148,77,0
222,84,1
286,99,1
234,99,1
125,270,0
150,230,0
257,139,0
274,248,0
49,98,0
21,85,0
271,280,0
79,243,1
288,126,1
132,34,0
90,113,0
38,160,0
222,0,1
12,252,1
81,295,0
60,41,0
179,125,1
173,117,0
33,248,1
44,174,1
179,102,1
215,79,1
195,107,1
39,266,1
120,288,1
154,176,0
121,282,1
260,120,1
35,67,1
144,147,1
210,60,0
92,24,0
247,288,0
197,167,0
212,169,0
51,75,1
126,224,1
151,256,0
190,157,0
35,252,1
219,75,1
24,229,1
237,21,1
43,102,0
216,138,0
105,250,0
151,44,0
218,90,0
116,291,0
116,237,0
157,273,1
116,268,0
107,267,0
81,239,1
105,94,0
106,273,1
137,90,0
237,66,1
53,71,0
63,72,0
130,137,0
55,153,0
126,240,1
39,183,0
173,73,1
139,74,1
218,153,0
278,211,0
222,151,0
245,37,0
19,253,1
133,152,0
140,82,0
183,168,0
54,290,1
245,87,1
57,244,1
56,76,0
207,99,0
36,291,1
11,23,0
212,107,1
201,121,1
193,129,1
195,209,0
158,0,1
142,125,0
178,83,1
224,69,0
39,144,0
208,9,1
87,26,0
140,92,0
265,186,0
134,174,0
109,173,0
227,86,1
79,288,1
105,298,1
5,257,1
222,219,0
86,118,0
59,250,1
103,194,0
68,179,0
286,96,1
267,89,0
33,243,1
264,103,1
261,90,1
186,0,1
101,198,1
45,191,1
40,286,1
119,112,0
103,251,1
283,93,0
180,82,0
136,159,1
286,233,0
88,212,1
222,97,1
207,141,1
244,149,1
227,144,0
171,67,0
150,247,0
0,247,1
154,240,0
260,62,1
147,145,0
212,233,0
253,14,1
266,0,1
47,278,1
150,164,0
74,290,0
106,112,0
0,231,0
26,88,0
97,252,1
63,250,1
268,53,0
214,100,1
209,137,1
119,287,0
134,0,1
103,10,0
226,260,0
166,76,0
250,136,1
200,93,0
55,278,0
11,272,0
170,114,1
237,35,0
197,102,1
255,125,1
63,91,0
227,100,0
132,120,1
236,253,1
282,118,1
242,135,1
270,67,0
124,210,1
254,26,0
123,233,1
136,188,1
166,100,1
129,8,0
2,236,1
34,211,0
212,35,0
183,95,0
238,102,1
180,255,0
110,150,0
115,249,1
51,67,0
247,49,1
266,70,0
268,138,1
7,54,0
181,278,0
180,104,1
130,62,0
224,132,1
208,114,1
58,152,0
134,120,1
79,2,0
268,46,1
3,112,0
132,74,0
283,168,0
31,175,0
135,214,0
200,9,1
109,143,1
183,296,0
70,270,1
75,169,0
24,270,1
132,185,0
71,42,1
236,255,0
281,42,0
124,154,0
231,138,1
145,86,0
227,85,1
9,259,1
53,116,1
176,32,0
154,246,1
183,137,1
84,233,1
116,284,0
253,69,0
142,126,1
224,87,0
256,98,1
48,160,0
200,20,0
42,297,1
274,133,1
152,131,0
249,55,1
227,277,0
68,225,0
273,169,0
284,188,0
108,139,0
81,182,1
87,105,0
272,274,0
245,98,1
277,224,0
286,181,0
277,180,0
26,296,0
222,83,1
74,200,1
191,128,0
45,200,1
236,9,0
222,111,1
99,164,1
48,158,1
171,251,1
207,68,1
267,188,0
144,15,0
57,141,0
249,103,1
124,145,0
235,122,0
0,236,1
273,125,1
4,169,1
263,195,1
83,295,1
286,271,0
71,212,1
119,252,1
40,271,1
122,297,1
71,295,1
218,44,0
207,135,1
56,241,0
267,59,0
172,138,1
137,141,1
238,50,0
56,190,0
145,196,0
250,87,1
106,95,0
207,33,0
63,206,0
57,102,0
142,2,0
151,283,0
35,248,0
39,179,0
227,73,0
