user_id,item_id,score
216,199,0
76,18,0
26,220,0
61,152,0
136,274,1
162,268,0
100,229,0
253,0,0
119,249,0
45,80,0
40,224,0
171,191,1
28,124,1
7,15,0
134,169,0
198,280,0
289,143,0
155,127,0
166,73,0
233,93,0
50,269,0
273,221,0
6,147,0
199,163,0
276,7,0
259,223,0
120,12,0
256,22,0
3,208,1
193,205,0
281,72,0
258,270,0
88,276,0
261,182,0
62,148,0
282,68,1
140,176,0
182,257,0
244,133,0
166,19,1
214,271,0
280,37,0
106,194,0
90,295,0
194,59,0
43,68,0
188,299,0
236,83,1
154,248,0
27,103,0
32,284,0
198,230,0
59,14,0
64,190,0
40,143,0
29,3,0
253,38,0
278,37,0
54,288,1
77,262,1
69,151,0
96,184,0
22,135,0
10,20,0
170,160,0
122,260,0
88,298,0
78,251,0
1,122,0
282,6,0
144,127,1
187,42,0
15,203,0
197,106,0
217,265,0
268,130,0
164,11,0
71,194,0
267,257,1
108,8,0
150,244,0
194,92,0
289,47,0
231,215,0
183,104,1
24,9,1
69,244,0
72,125,0
228,22,0
95,289,0
10,137,0
211,107,1
42,81,0
179,182,1
243,184,0
146,103,0
116,293,1
31,124,0
163,264,1
0,74,1
105,4,1
97,41,0
181,112,0
206,215,0
228,227,0
28,172,0
260,231,0
100,79,0
81,35,0
12,275,1
43,296,0
153,139,0
133,122,0
179,36,1
157,24,1
70,225,0
280,34,0
182,293,0
256,19,1
193,150,0
85,152,0
227,153,1
210,145,0
11,171,0
53,102,0
29,192,0
19,110,0
174,92,0
187,185,0
160,58,0
82,49,0
275,267,0
35,274,1
246,201,0
233,72,0
237,231,1
119,96,0
196,189,0
224,54,1
30,184,1
17,254,0
194,276,0
154,82,0
119,80,1
165,197,0
181,65,0
215,64,1
67,54,0
118,171,0
204,270,0
190,227,0
253,24,0
207,183,1
33,51,0
87,98,0
64,146,0
84,291,1
189,55,1
273,56,0
143,62,0
27,40,0
183,24,0
222,90,1
231,118,1
220,290,0
197,10,0
48,156,0
196,188,0
90,227,0
281,197,0
43,272,0
14,169,0
288,78,0
162,46,0
22,266,0
34,216,0
188,3,0
149,126,0
55,74,0
45,295,1
237,152,1
0,133,0
0,12,1
56,179,0
160,190,0
155,200,0
75,160,0
169,14,0
75,173,0
82,4,1
57,187,0
162,259,0
240,144,1
283,70,0
104,148,0
215,22,1
192,193,0
46,102,0
45,212,0
92,165,0
108,17,0
277,82,0
29,273,1
12,24,0
138,100,0
212,122,0
47,53,0
260,178,0
220,160,0
240,142,0
29,213,1
11,62,1
173,72,1
243,234,0
117,113,0
236,24,0
37,110,0
99,4,1
178,273,0
150,267,0
158,199,1
289,237,0
250,43,0
112,285,0
78,215,1
99,155,0
192,10,0
109,87,0
168,253,0
256,46,1
196,282,0
144,189,0
115,12,1
128,117,0
235,244,0
278,169,0
116,81,0
175,80,0
69,148,0
245,214,0
248,8,0
104,6,0
191,126,0
221,216,0
76,242,0
142,25,0
159,42,0
83,113,0
132,288,0
160,204,0
249,222,0
254,27,0
87,292,0
89,221,0
277,46,1
39,21,1
17,209,0
28,251,0
24,294,0
221,46,0
74,231,0
63,163,0
113,165,0
99,232,0
58,229,1
135,153,1
280,297,0
119,185,0
235,152,0
236,96,1
275,121,1
74,287,0
226,54,0
152,245,0
7,168,0
244,156,0
228,272,0
126,279,0
42,251,0
11,150,1
80,213,0
82,102,0
103,108,0
180,153,0
230,188,0
102,42,0
264,124,1
31,181,0
287,193,0
1,29,0
186,209,0
135,141,1
269,276,0
208,133,0
131,114,1
198,242,0
237,190,0
228,266,0
195,257,0
29,225,0
261,148,0
241,159,0
49,214,0
152,99,0
78,234,0
146,147,0
200,93,0
245,282,1
209,175,0
116,215,0
172,8,0
171,21,1
236,257,1
119,170,1
179,243,1
252,295,0
25,31,0
170,290,0
107,256,0
211,32,1
185,37,0
105,177,0
186,1,0
237,240,0
159,38,0
276,264,0
125,5,0
3,185,0
209,137,1
289,295,0
205,119,0
64,220,0
46,59,0
271,178,0
9,110,0
195,12,0
79,15,0
174,118,0
214,166,1
37,111,0
14,279,0
26,276,1
274,9,0
115,154,0
212,116,0
91,176,0
273,15,0
270,133,0
171,53,1
4,13,0
82,50,0
5,122,0
38,244,0
185,182,0
257,207,0
200,289,0
169,201,0
28,291,0
113,105,0
184,202,0
260,202,0
81,123,0
254,169,0
166,202,0
235,116,0
263,292,0
20,79,0
77,136,0
219,92,1
129,41,0
270,224,0
89,244,0
193,65,0
241,246,0
108,160,0
79,122,1
107,145,0
238,54,0
253,220,0
13,155,0
111,85,0
276,128,0
98,106,0
57,49,0
230,233,0
46,166,1
288,37,0
32,143,0
121,260,0
165,35,0
9,296,0
133,266,0
33,75,0
252,211,0
84,188,0
42,207,1
198,246,0
81,144,0
153,122,0
210,70,0
289,236,0
263,265,0
3,230,0
45,189,0
239,197,0
139,106,1
17,205,0
232,198,0
99,71,0
161,124,0
117,81,0
49,101,0
174,176,0
68,38,0
58,92,0
96,145,0
284,68,0
34,292,0
190,21,0
205,297,0
106,76,0
189,291,0
174,291,0
148,234,0
31,29,0
175,194,0
262,159,0
37,54,0
78,291,0
289,149,0
224,167,0
201,245,1
165,275,0
146,249,0
182,97,0
174,117,0
35,198,1
168,85,0
61,271,0
23,130,0
26,297,1
288,52,0
44,97,0
153,278,0
200,231,0
101,53,0
50,108,0
269,270,0
178,21,1
61,208,0
71,289,0
276,174,0
205,105,1
74,290,0
128,290,0
152,96,0
218,227,1
224,208,0
123,240,0
112,158,0
199,217,0
183,273,0
118,269,0
147,37,0
