user_id,item_id,score
3674,329,0
10884,185,1
4057,743,1
7913,811,1
11299,827,1
7446,606,1
4019,399,0
11099,705,0
12248,810,1
7263,750,0
1447,34,1
3164,428,1
11868,104,0
4556,277,0
3862,397,1
10693,366,0
120,861,1
10900,382,0
12673,492,0
2619,575,1
4166,795,0
11604,567,1
10585,756,0
6240,713,1
2079,817,0
3841,382,1
10902,817,1
9746,138,0
5874,720,1
10061,133,0
9549,982,0
3684,261,0
242,968,1
4554,305,1
13926,289,1
10293,138,0
1568,703,1
1219,635,1
15292,291,1
8596,806,1
10646,532,0
3444,966,1
1722,195,1
3350,864,1
11649,358,1
10555,126,1
11627,319,1
14505,233,0
4271,445,0
14799,711,0
4397,127,0
2639,34,1
4075,503,1
10696,514,0
12944,237,0
1830,635,1
2149,537,1
8320,811,1
12226,55,1
5565,323,0
9584,417,0
3203,751,1
13354,457,1
8774,667,1
14489,778,0
14564,572,0
11793,359,1
4303,357,0
12423,554,1
9618,326,0
694,381,1
11805,997,0
425,902,0
5015,518,0
1604,702,1
14749,29,1
13705,784,0
13732,37,0
12708,761,0
14430,625,0
9020,522,0
10087,196,0
4959,736,0
2096,698,0
9765,28,0
5948,705,1
14066,617,0
12686,691,1
4740,622,0
8748,566,1
11627,985,1
11698,488,1
1983,55,1
5263,476,1
7122,502,0
7261,394,1
6559,120,1
7766,635,1
13585,66,0
4051,995,1
5657,6,0
8271,320,0
13853,15,0
2447,650,0
6588,688,0
837,667,1
2160,436,0
11150,645,0
14215,152,1
10620,366,1
3385,935,0
4843,126,1
10483,498,0
10136,330,0
4756,226,0
14496,37,0
15167,790,1
9068,394,1
8441,554,0
5927,955,1
13145,276,0
15015,729,0
6975,518,0
11365,969,1
11445,678,0
6094,872,1
12276,360,0
11527,799,1
2552,270,0
8086,962,1
11634,392,1
7631,888,1
2065,833,1
6229,555,1
14344,382,1
392,928,0
9502,656,0
12318,479,1
6995,677,0
3067,548,0
4004,566,1
7696,301,0
14545,409,1
13606,997,1
3450,796,0
4154,855,1
4195,652,0
10250,783,0
12331,504,1
8267,394,1
9093,211,0
6802,968,1
6377,405,0
9920,383,0
2410,395,1
8339,291,1
13631,991,0
4693,995,1
2929,820,0
8421,706,1
708,529,1
8377,674,0
11199,867,1
12776,55,1
8084,211,0
7396,311,0
3661,959,1
8913,241,0
10517,394,1
4613,128,1
15223,52,0
6311,723,0
2494,235,0
2592,447,1
4692,216,0
4738,351,0
546,482,0
10523,850,0
3840,6,0
4570,891,0
11310,461,1
1114,49,1
633,724,0
12448,336,0
5832,757,1
121,189,0
9734,905,0
15260,34,1
496,520,0
7772,873,0
8283,527,0
590,480,0
1356,811,1
6236,258,0
1403,272,0
13970,314,0
3728,139,1
10287,911,0
3510,764,1
10602,884,1
5832,338,0
4455,503,1
11289,837,0
3331,813,1
1908,322,0
15262,920,1
1897,439,0
14137,74,0
1696,770,1
9030,659,1
9768,238,0
7093,693,0
7346,41,0
13084,234,1
5219,683,1
14198,878,0
10165,502,0
8137,848,0
10379,49,1
3212,963,1
2899,34,1
2584,234,1
5070,940,0
4819,62,1
2346,358,0
3936,773,0
9335,491,1
5546,446,0
3922,997,1
2191,35,1
9502,596,0
2651,992,1
6030,909,1
15272,171,1
9506,646,0
6931,433,1
4559,492,1
3119,246,1
13626,694,0
8133,746,1
2651,221,1
6000,61,1
12765,62,0
11485,420,1
6071,697,0
12113,491,1
5548,997,1
1649,576,1
6684,812,0
8658,694,1
3482,635,1
12568,165,1
3477,675,1
10,912,0
15127,954,1
1220,601,1
10272,976,0
2007,294,1
13226,30,1
4453,491,1
3899,382,1
1976,445,1
71,596,1
7375,511,0
10362,126,1
14602,44,1
1703,76,1
10598,22,0
7063,186,1
1973,841,0
6100,715,0
5604,297,0
10570,741,1
4506,256,0
7347,193,1
8335,582,1
875,272,0
10450,8,0
11058,122,1
923,49,1
10914,120,1
14099,322,0
5499,954,0
10487,120,1
4237,96,0
11177,596,1
11064,194,0
1545,846,0
