user_id,item_id,score
373,47,1
4596,897,1
758,47,1
586,474,1
426,435,2
3115,55,4
450,11,1
5395,776,1
5038,65,2
5165,104,2
1603,463,1
4170,98,1
1571,341,1
4674,225,1
2758,257,2
3759,248,4
12,586,4
3209,377,3
2285,424,1
5066,914,1
4654,904,1
5197,805,2
1188,670,3
848,777,1
4184,678,2
2528,254,4
1773,324,2
4876,635,5
5388,523,2
1158,56,3
3675,658,3
4066,454,1
4390,619,1
4159,808,2
1039,145,1
3059,977,3
3153,542,1
4602,643,2
1999,253,4
1456,25,1
63,66,2
3539,452,1
787,478,2
3148,981,2
3617,831,1
754,819,1
2983,128,2
1010,779,3
290,152,3
2670,303,1
885,476,2
4607,909,1
4338,591,1
3728,520,1
236,261,3
1805,891,1
2576,271,1
2404,70,1
997,0,1
1106,451,1
1589,264,1
2118,79,1
37,545,1
678,668,3
358,711,1
467,294,3
5176,180,1
1552,158,1
4123,470,1
183,551,2
2213,946,1
2204,162,1
2804,642,1
4306,418,3
1438,924,1
2634,451,2
824,863,1
4279,479,1
3970,303,4
2386,96,1
4991,561,2
1450,731,1
4399,257,3
1686,551,2
4313,397,5
3502,380,1
1780,916,1
74,295,2
26,874,1
1170,277,4
4130,804,2
4514,28,3
3737,767,1
1927,733,1
3679,777,1
4323,957,1
1201,376,1
2527,458,1
316,877,1
2616,454,3
4316,254,1
4516,907,1
4912,966,2
4262,681,1
754,301,1
438,148,3
2088,440,1
3151,913,2
3587,393,3
2321,592,2
4677,222,1
3750,463,3
1067,944,4
5125,507,2
4928,73,1
1961,820,5
1474,18,3
1469,1,1
4978,240,3
5163,972,1
2545,248,3
3631,571,1
4740,96,1
2414,828,2
1353,634,2
2060,20,2
2901,357,2
2058,503,2
1080,6,1
2319,959,1
5190,674,2
1812,951,1
4048,843,3
2733,654,4
797,858,1
3362,17,1
3717,175,4
1481,765,3
4201,403,1
4103,253,4
5301,349,1
2514,840,1
2318,53,3
5190,401,1
122,801,4
3746,584,1
3417,557,2
4713,451,3
1024,492,1
344,654,3
2306,457,1
4078,766,1
4422,99,1
3888,267,1
1410,74,1
5224,466,2
590,774,3
2406,634,4
1625,930,3
5220,193,1
5114,524,1
3151,880,2
3313,952,1
2465,368,1
4945,926,2
4398,71,1
1394,536,2
4877,645,2
922,899,1
5175,1,3
2931,249,3
893,590,2
3573,604,1
4706,932,3
4411,954,2
1942,696,1
905,953,1
1454,818,1
2636,178,1
19,467,1
5044,930,1
4850,859,1
4148,963,2
1165,505,1
907,155,1
4246,817,4
3316,112,1
983,90,1
2429,19,2
4513,411,1
2978,886,1
1063,799,3
3503,674,4
3323,118,3
4409,242,1
4389,264,1
5299,5,3
4293,710,2
2374,957,1
4294,333,1
2571,49,1
3121,665,1
2546,92,3
3778,449,1
4268,690,2
1534,438,1
666,939,2
2069,845,2
3741,667,1
2343,368,3
941,838,1
1810,513,1
1348,152,3
1732,608,1
1688,716,3
2594,413,1
2345,99,1
3429,996,1
1928,213,1
3747,675,1
3927,702,1
2333,853,1
1980,819,3
4042,788,3
2249,391,2
4563,891,2
889,304,1
4045,776,2
973,801,2
4324,856,1
4499,253,1
3157,435,1
2269,331,1
4007,917,1
111,938,2
2377,215,1
3769,664,1
4770,978,2
993,552,1
3365,82,2
4188,82,1
2584,169,3
1924,171,2
3751,357,2
590,985,2
2645,591,1
966,575,2
3114,637,3
4393,52,1
5206,448,3
438,248,4
3877,62,2
941,126,2
301,393,2
893,774,1
4191,660,2
3641,824,2
2765,204,3
1637,358,3
1650,304,3
5061,27,4
3198,957,4
341,246,2
238,238,1
1976,991,2
1410,771,1
4135,447,4
2178,198,1
3772,161,1
2098,571,2
3017,887,2
4961,307,4
4601,480,1
4455,170,3
4759,297,1
665,324,1
8,573,3
4447,438,1
3610,710,3
1630,307,1
3025,972,2
341,314,3
2703,312,2
260,152,4
2145,170,1
2857,835,1
2798,811,3
3288,480,1
5345,187,1
1308,735,1
5353,141,1
3462,657,1
2044,179,2
1483,209,2
907,354,1
3682,496,1
235,779,3
4079,50,1
5031,647,1
1889,17,3
2926,837,1
5231,894,1
1751,410,1
208,841,3
4070,493,1
2580,792,1
4119,666,1
4157,643,1
67,498,1
2498,921,3
5131,862,1
517,469,4
286,284,1
172,799,1
2339,366,2
1829,752,4
2546,911,2
4795,408,1
944,581,1
4499,842,3
4417,304,2
695,355,2
1232,159,2
5012,228,1
3369,580,1
2917,9,1
3030,487,1
3035,221,2
2153,89,1
1225,538,1
1666,671,2
1525,618,1
1557,658,2
1211,524,1
629,605,1
4791,156,1
1118,313,1
1300,547,2
5043,829,2
3000,940,1
3582,937,1
3444,524,1
4537,261,3
2597,358,1
3407,556,3
101,675,1
4746,124,1
4614,919,3
1391,286,2
2330,818,1
2566,938,3
2736,924,1
5025,663,1
1144,259,2
2335,643,3
3524,614,2
42,819,2
3902,470,3
1581,495,1
3198,353,1
551,265,1
1581,558,1
1854,623,1
2028,900,2
1426,206,1
3807,873,1
4765,133,3
1296,834,3
378,63,2
591,498,1
3403,512,3
887,495,4
1852,132,3
341,991,3
2467,634,1
164,962,1
507,638,3
759,578,1
4934,366,2
5249,457,1
3740,889,3
860,719,1
5084,371,1
3330,236,1
1477,120,2
2909,193,5
4409,296,1
1883,650,2
1862,507,3
5189,968,1
2525,4,1
2409,828,2
66,434,1
3868,58,2
3827,756,1
3816,371,2
1810,931,1
1077,455,1
932,944,3
1057,380,1
4527,970,1
322,675,4
22,904,5
2226,37,3
120,32,1
2771,135,1
4327,644,1
2763,743,1
3500,575,5
4407,31,2
3469,502,4
2518,149,4
2447,817,4
4995,746,1
538,240,2
2617,927,1
1562,528,1
3018,469,1
2741,207,1
670,78,3
3009,635,4
2245,544,5
1124,744,1
124,821,2
3964,623,4
2364,54,1
5393,897,1
3315,948,2
3879,96,1
