user_id,item_id,score
373,47,0
4596,897,0
758,47,0
586,474,0
426,435,0
3115,55,1
450,11,0
5395,776,0
5038,65,0
5165,104,0
1603,463,0
4170,98,0
1571,341,0
4674,225,0
2758,257,0
3759,248,1
12,586,1
3209,377,0
2285,424,0
5066,914,0
4654,904,0
5197,805,0
1188,670,0
848,777,0
4184,678,0
2528,254,1
1773,324,0
4876,635,1
5388,523,0
1158,56,0
3675,658,0
4066,454,0
4390,619,0
4159,808,0
1039,145,0
3059,977,0
3153,542,0
4602,643,0
1999,253,1
1456,25,0
63,66,0
3539,452,0
787,478,0
3148,981,0
3617,831,0
754,819,0
2983,128,0
1010,779,0
290,152,0
2670,303,0
885,476,0
4607,909,0
4338,591,0
3728,520,0
236,261,0
1805,891,0
2576,271,0
2404,70,0
997,0,0
1106,451,0
1589,264,0
2118,79,0
37,545,0
678,668,0
358,711,0
467,294,0
5176,180,0
1552,158,0
4123,470,0
183,551,0
2213,946,0
2204,162,0
2804,642,0
4306,418,0
1438,924,0
2634,451,0
824,863,0
4279,479,0
3970,303,1
2386,96,0
4991,561,0
1450,731,0
4399,257,0
1686,551,0
4313,397,1
3502,380,0
1780,916,0
74,295,0
26,874,0
1170,277,1
4130,804,0
4514,28,0
3737,767,0
1927,733,0
3679,777,0
4323,957,0
1201,376,0
2527,458,0
316,877,0
2616,454,0
4316,254,0
4516,907,0
4912,966,0
4262,681,0
754,301,0
438,148,0
2088,440,0
3151,913,0
3587,393,0
2321,592,0
4677,222,0
3750,463,0
1067,944,1
5125,507,0
4928,73,0
1961,820,1
1474,18,0
1469,1,0
4978,240,0
5163,972,0
2545,248,0
3631,571,0
4740,96,0
2414,828,0
1353,634,0
2060,20,0
2901,357,0
2058,503,0
1080,6,0
2319,959,0
5190,674,0
1812,951,0
4048,843,0
2733,654,1
797,858,0
3362,17,0
3717,175,1
1481,765,0
4201,403,0
4103,253,1
5301,349,0
2514,840,0
2318,53,0
5190,401,0
122,801,1
3746,584,0
3417,557,0
4713,451,0
1024,492,0
344,654,0
2306,457,0
4078,766,0
4422,99,0
3888,267,0
1410,74,0
5224,466,0
590,774,0
2406,634,1
1625,930,0
5220,193,0
5114,524,0
3151,880,0
3313,952,0
2465,368,0
4945,926,0
4398,71,0
1394,536,0
4877,645,0
922,899,0
5175,1,0
2931,249,0
893,590,0
3573,604,0
4706,932,0
4411,954,0
1942,696,0
905,953,0
1454,818,0
2636,178,0
19,467,0
5044,930,0
4850,859,0
4148,963,0
1165,505,0
907,155,0
4246,817,1
3316,112,0
983,90,0
2429,19,0
4513,411,0
2978,886,0
1063,799,0
3503,674,1
3323,118,0
4409,242,0
4389,264,0
5299,5,0
4293,710,0
2374,957,0
4294,333,0
2571,49,0
3121,665,0
2546,92,0
3778,449,0
4268,690,0
1534,438,0
666,939,0
2069,845,0
3741,667,0
2343,368,0
941,838,0
1810,513,0
1348,152,0
1732,608,0
1688,716,0
2594,413,0
2345,99,0
3429,996,0
1928,213,0
3747,675,0
3927,702,0
2333,853,0
1980,819,0
4042,788,0
2249,391,0
4563,891,0
889,304,0
4045,776,0
973,801,0
4324,856,0
4499,253,0
3157,435,0
2269,331,0
4007,917,0
111,938,0
2377,215,0
3769,664,0
4770,978,0
993,552,0
3365,82,0
4188,82,0
2584,169,0
1924,171,0
3751,357,0
590,985,0
2645,591,0
966,575,0
3114,637,0
4393,52,0
5206,448,0
438,248,1
3877,62,0
941,126,0
301,393,0
893,774,0
4191,660,0
3641,824,0
2765,204,0
1637,358,0
1650,304,0
5061,27,1
3198,957,1
341,246,0
238,238,0
1976,991,0
1410,771,0
4135,447,1
2178,198,0
3772,161,0
2098,571,0
3017,887,0
4961,307,1
4601,480,0
4455,170,0
4759,297,0
665,324,0
8,573,0
4447,438,0
3610,710,0
1630,307,0
3025,972,0
341,314,0
2703,312,0
260,152,1
2145,170,0
2857,835,0
2798,811,0
3288,480,0
5345,187,0
1308,735,0
5353,141,0
3462,657,0
2044,179,0
1483,209,0
907,354,0
3682,496,0
235,779,0
4079,50,0
5031,647,0
1889,17,0
2926,837,0
5231,894,0
1751,410,0
208,841,0
4070,493,0
2580,792,0
4119,666,0
4157,643,0
67,498,0
2498,921,0
5131,862,0
517,469,1
286,284,0
172,799,0
2339,366,0
1829,752,1
2546,911,0
4795,408,0
944,581,0
4499,842,0
4417,304,0
695,355,0
1232,159,0
5012,228,0
3369,580,0
2917,9,0
3030,487,0
3035,221,0
2153,89,0
1225,538,0
1666,671,0
1525,618,0
1557,658,0
1211,524,0
629,605,0
4791,156,0
1118,313,0
1300,547,0
5043,829,0
3000,940,0
3582,937,0
3444,524,0
4537,261,0
2597,358,0
3407,556,0
101,675,0
4746,124,0
4614,919,0
1391,286,0
2330,818,0
2566,938,0
2736,924,0
5025,663,0
1144,259,0
2335,643,0
3524,614,0
42,819,0
3902,470,0
1581,495,0
3198,353,0
551,265,0
1581,558,0
1854,623,0
2028,900,0
1426,206,0
3807,873,0
4765,133,0
1296,834,0
378,63,0
591,498,0
3403,512,0
887,495,1
1852,132,0
341,991,0
2467,634,0
164,962,0
507,638,0
759,578,0
4934,366,0
5249,457,0
3740,889,0
860,719,0
5084,371,0
3330,236,0
1477,120,0
2909,193,1
4409,296,0
1883,650,0
1862,507,0
5189,968,0
2525,4,0
2409,828,0
66,434,0
3868,58,0
3827,756,0
3816,371,0
1810,931,0
1077,455,0
932,944,0
1057,380,0
4527,970,0
322,675,1
22,904,1
2226,37,0
120,32,0
2771,135,0
4327,644,0
2763,743,0
3500,575,1
4407,31,0
3469,502,1
2518,149,1
2447,817,1
4995,746,0
538,240,0
2617,927,0
1562,528,0
3018,469,0
2741,207,0
670,78,0
3009,635,1
2245,544,1
1124,744,0
124,821,0
3964,623,1
2364,54,0
5393,897,0
3315,948,0
3879,96,0
4640,881,0
2014,133,0
2450,94,0
3336,556,0
4087,683,0
237,807,0
723,273,0
2658,409,0
4539,598,0
2528,367,1
1452,417,0
1983,266,1
3243,615,0
2432,986,0
1625,886,0
3611,51,0
977,766,1
219,63,0
1834,117,0
4435,972,0
129,823,0
3366,846,0
1199,668,0
5343,181,0
279,539,1
1007,91,0
3363,515,1
